PMU100_out.spoofing_attack,isAttack
PMU100_out.B102_V,y_hat_send[0]
PMU100_out.B102_I3,y_hat_send[1]
PMU100_out.B102_I2,y_hat_send[2]
PMU100_out.B102_I1,y_hat_send[3]
PMU100_out.B103_V,y_hat_send[4]
PMU100_out.B103_I2,y_hat_send[5]
PMU100_out.B103_I3,y_hat_send[6]
PMU100_out.B103_I1,y_hat_send[7]
PMU100_out.B107_V,y_hat_send[8]
PMU100_out.B107_I1,y_hat_send[9]
PMU100_out.B107_I2,y_hat_send[10]
PMU100_out.B110_V,y_hat_send[11]
PMU100_out.B110_I4,y_hat_send[12]
PMU100_out.B110_I5,y_hat_send[13]
PMU100_out.B110_I1,y_hat_send[14]
PMU100_out.B110_I2,y_hat_send[15]
PMU100_out.B110_I3,y_hat_send[16]
PMU100_out.B123_V,y_hat_send[17]
PMU100_out.B123_I5,y_hat_send[18]
PMU100_out.B123_I1,y_hat_send[19]
PMU100_out.B123_I2,y_hat_send[20]
PMU100_out.B123_I3,y_hat_send[21]
PMU100_out.B123_I4,y_hat_send[22]
PMU200_out.B202_V,y_hat_send[23]
PMU200_out.B202_I1,y_hat_send[24]
PMU200_out.B202_I2,y_hat_send[25]
PMU200_out.B202_I3,y_hat_send[26]
PMU200_out.B203_V,y_hat_send[27]
PMU200_out.B203_I1,y_hat_send[28]
PMU200_out.B203_I2,y_hat_send[29]
PMU200_out.B203_I3,y_hat_send[30]
PMU200_out.B203_I4,y_hat_send[31]
PMU200_out.B207_V,y_hat_send[32]
PMU200_out.B207_I1,y_hat_send[33]
PMU200_out.B210_V,y_hat_send[34]
PMU200_out.B210_I1,y_hat_send[35]
PMU200_out.B210_I2,y_hat_send[36]
PMU200_out.B210_I3,y_hat_send[37]
PMU200_out.B210_I4,y_hat_send[38]
PMU200_out.B210_I5,y_hat_send[39]
PMU200_out.B216_V,y_hat_send[40]
PMU200_out.B216_I1,y_hat_send[41]
PMU200_out.B216_I2,y_hat_send[42]
PMU200_out.B216_I3,y_hat_send[43]
PMU200_out.B216_I4,y_hat_send[44]
PMU200_out.B221_V,y_hat_send[45]
PMU200_out.B221_I1,y_hat_send[46]
PMU200_out.B221_I2,y_hat_send[47]
PMU200_out.B221_I3,y_hat_send[48]
PMU200_out.B221_I4,y_hat_send[49]
PMU200_out.B221_I5,y_hat_send[50]
PMU200_out.B223_V,y_hat_send[51]
PMU200_out.B223_I1,y_hat_send[52]
PMU200_out.B223_I2,y_hat_send[53]
PMU200_out.B223_I3,y_hat_send[54]
PMU200_out.B223_I4,y_hat_send[55]
PMU200_out.B223_I5,y_hat_send[56]
PMU300_out.B316_V,y_hat_send[57]
PMU300_out.B316_I1,y_hat_send[58]
PMU300_out.B316_I2,y_hat_send[59]
PMU300_out.B316_I3,y_hat_send[60]
PMU300_out.B316_I4,y_hat_send[61]
PMU300_out.B321_V,y_hat_send[62]
PMU300_out.B321_I1,y_hat_send[63]
PMU300_out.B321_I2,y_hat_send[64]
PMU300_out.B321_I3,y_hat_send[65]
PMU300_out.B321_I4,y_hat_send[66]
PMU300_out.B321_I5,y_hat_send[67]
PMU100_out.B116_V,y_hat_send[68]
PMU100_out.B116_I1,y_hat_send[69]
PMU100_out.B116_I2,y_hat_send[70]
PMU100_out.B116_I3,y_hat_send[71]
PMU100_out.B116_I4,y_hat_send[72]
PMU100_out.B121_V,y_hat_send[73]
PMU100_out.B121_I1,y_hat_send[74]
PMU100_out.B121_I2,y_hat_send[75]
PMU100_out.B121_I3,y_hat_send[76]
PMU100_out.B121_I4,y_hat_send[77]
PMU100_out.B121_I5,y_hat_send[78]
PMU100_out.B121_I6,y_hat_send[79]
PMU300_out.B302_V,y_hat_send[80]
PMU300_out.B302_I1,y_hat_send[81]
PMU300_out.B302_I2,y_hat_send[82]
PMU300_out.B302_I3,y_hat_send[83]
PMU300_out.B303_V,y_hat_send[84]
PMU300_out.B303_I1,y_hat_send[85]
PMU300_out.B303_I2,y_hat_send[86]
PMU300_out.B303_I3,y_hat_send[87]
PMU300_out.B307_V,y_hat_send[88]
PMU300_out.B307_I1,y_hat_send[89]
PMU300_out.B310_V,y_hat_send[90]
PMU300_out.B310_I1,y_hat_send[91]
PMU300_out.B310_I2,y_hat_send[92]
PMU300_out.B310_I3,y_hat_send[93]
PMU300_out.B310_I4,y_hat_send[94]
PMU300_out.B310_I5,y_hat_send[95]
PMU300_out.B323_V,y_hat_send[96]
PMU300_out.B323_I1,y_hat_send[97]
PMU300_out.B323_I2,y_hat_send[98]
PMU300_out.B323_I3,y_hat_send[99]
PMU300_out.B323_I4,y_hat_send[100]
PMU300_out.B323_I5,y_hat_send[101]
PMU100_out.B102_bias.mag,solution_deg_final[0]
PMU100_out.B103_bias.mag,solution_deg_final[1]
PMU100_out.B107_bias.mag,solution_deg_final[2]
PMU100_out.B110_bias.mag,solution_deg_final[3]
PMU100_out.B123_bias.mag,solution_deg_final[4]
PMU200_out.B202_bias.mag,solution_deg_final[5]
PMU200_out.B203_bias.mag,solution_deg_final[6]
PMU200_out.B207_bias.mag,solution_deg_final[7]
PMU200_out.B210_bias.mag,solution_deg_final[8]
PMU200_out.B216_bias.mag,solution_deg_final[9]
PMU200_out.B221_bias.mag,solution_deg_final[10]
PMU200_out.B223_bias.mag,solution_deg_final[11]
PMU300_out.B316_bias.mag,solution_deg_final[12]
PMU300_out.B321_bias.mag,solution_deg_final[13]
PMU100_out.B116_bias.mag,solution_deg_final[14]
PMU100_out.B121_bias.mag,solution_deg_final[15]
PMU300_out.B302_bias.mag,solution_deg_final[16]
PMU300_out.B303_bias.mag,solution_deg_final[17]
PMU300_out.B307_bias.mag,solution_deg_final[18]
PMU300_out.B310_bias.mag,solution_deg_final[19]
PMU300_out.B323_bias.mag,solution_deg_final[20]
